Locid,Airport Name,CY 23 Enplanements
ANC,Ted Stevens Anchorage International,"2,681,818"
FAI,Fairbanks International,"548,679"
JNU,Juneau International,"440,279"
BET,Bethel,"153,548"
KTN,Ketchikan International,"148,645"
SIT,Sitka Rocky Gutierrez,"96,214"
ADQ,Kodiak,"85,183"
SCC,Deadhorse,"82,296"
ENA,Kenai Municipal,"67,062"
OME,Nome,"66,883"
OTZ,Ralph Wien Memorial,"60,124"
BRW,Wiley Post-Will Rogers Memorial,"41,579"
AKN,King Salmon,"38,021"
DLG,Dillingham,"34,815"
HOM,Homer,"34,682"
MRI,Merrill Field,"30,269"
PSG,Petersburg James A Johnson,"24,921"
DUT,Unalaska,"19,201"
CDV,Merle K (Mudhole) Smith,"18,244"
AKW,Klawock,"16,733"
WRG,Wrangell,"14,323"
YAK,Yakutat,"12,105"
GAL,Edward G Pitka Sr,"11,758"
DGG,Red Dog,"15,102"
LHD,Lake Hood,"11,800"
ENM,Emmonak,"9,760"
GST,Gustavus,"9,584"
UNK,Unalakleet,"8,312"
HNS,Haines,"6,306"
HNH,Hoonah,"5,790"
ILI,Iliamna,"5,749"
CXF,Coldfoot,"5,634"
5KE,Ketchikan Harbor,"5,556"
FYU,Fort Yukon,"5,506"
5Z9,Lake Brooks,"5,281"
AQH,Quinhagak,"5,119"
SGY,Skagway,"4,953"
KSM,St Mary's,"4,912"
ANI,Aniak,"4,707"
VAK,Chevak,"4,704"
TPO,Port Alsworth,"4,633"
IIK,Kipnuk,"4,466"
HPB,Hooper Bay,"4,314"
VDZ,Valdez Pioneer Field,"4,235"
PHO,Point Hope,"4,052"
WLK,Selawik,"3,974"
WTK,Noatak,"3,698"
BVK,Buckland,"3,615"
AFE,Kake,"3,605"
SCM,Scammon Bay,"3,583"
SHH,Shishmaref,"3,477"
D76,Robert /Bob/ Curtis Memorial,"3,410"
Z09,Kasigluk,"3,386"
SOV,Seldovia,"3,381"
SVA,Savoonga,"3,310"
HLA,Huslia,"3,304"
OOK,Toksook Bay,"3,197"
0AK,Pilot Station,"3,195"
A61,Tuntutuliak,"3,161"
GAM,Gambell,"3,142"
AWI,Wainwright,"3,095"
MOU,Mountain Village,"3,048"
Z13,Akiachak,"3,033"
CDB,Cold Bay,"3,023"
KVL,Kivalina,"3,003"
AKP,Anaktuvuk Pass,"3,000"
TOG,Togiak,"2,997"
CFK,Chefornak,"2,913"
16A,Nunapitchuk,"2,845"
SDP,Sand Point,"2,818"
EEK,Eek,"2,812"
2A3,Larsen Bay,"2,760"
IAN,Bob Baker Memorial,"2,759"
DUY,Kongiganak,"2,725"
KWT,Kwethluk,"2,614"
MCG,McGrath,"2,575"
2A9,Kotlik,"2,557"
MDM,Marshall Don Hunter Sr,"2,514"
AUK,Alakanuk,"2,488"
NUL,Nulato,"2,408"
4A2,Atmautluak,"2,403"
KVC,King Cove,"2,380"
AKI,Akiak,"2,367"
AQT,Nuiqsut,"2,355"
KTS,Brevig Mission,"2,351"
RSH,Russian Mission,"2,303"
AGN,Angoon,"2,256"
TLT,Tuluksak,"2,242"
GGV,Kwigillingok,"2,241"
7AK,Akutan,"2,236"
6R7,Old Harbor,"2,196"
ADK,Adak,"2,149"
KEB,Nanwalek,"2,065"
WBB,Stebbins,"2,049"
KLG,Kalskag,"2,029"
ELI,Elim,"2,005"
BTI,Barter Island,"1,864"
AFM,Ambler,"1,847"
ATK,Atqasuk Edward Burnell Sr Memorial,"1,833"
SMK,St Michael,"1,831"
9K2,Kokhanok,"1,800"
SNP,St Paul Island,"1,775"
KNW,New Stuyahok,"1,758"
ARC,Arctic Village,"1,750"
TAL,Ralph M Calhoun Memorial,"1,703"
EWU,Mertarvik,"1,696"
4KA,Tununak,"1,674"
HRR,Healy River,"1,656"
VEE,Venetie,"1,629"
FSP,Nikolai,"1,628"
2C7,Shaktoolik,"1,627"
PGM,Port Graham,"1,605"
KAL,Kaltag,"1,584"
BTT,Bettles,"1,571"
SHG,Shungnak,"1,563"
KKA,Koyuk Alfred Adams,"1,547"
TYE,Tyonek,"1,525"
WNA,Napakiak,"1,513"
GLV,Golovin,"1,505"
MBA,Manokotak,"1,486"
6A8,Allakaket,"1,481"
RBY,Ruby,"1,476"
PIZ,Point Lay LRRS,"1,470"
A43,Taku Harbor,"1,356"
TER,Teller,"1,333"
DEE,Deering,"1,322"
WMO,White Mountain,"1,307"
ORI,Port Lions,"1,289"
PEC,Pelican,"1,227"
IGT,Nightmute,"1,225"
KQA,Akutan,"1,209"
5NN,Nondalton,"1,197"
4K5,Ouzinkie,"1,190"
MYU,Mekoryuk,"1,180"
BLG,Beluga,"1,122"
PKA,Napaskiak,"1,117"
IWK,Wales,"1,111"
EDF,Elmendorf AFB,"1,106"
HUS,Hughes,"1,050"
EII,Egegik,"1,038"
SXP,Nunam Iqua,999
OBU,Kobuk,965
WBQ,Beaver,912
JZZ,Koliganek,908
GNU,Goodnews,902
EIL,Eielson AFB,871
LKK,Kulik Lake,835
PTH,Port Heiden,814
KYU,Koyukuk,792
KGX,Grayling,743
PPC,Prospect Creek,740
IGG,Igiugig,709
GBH,Galbraith Lake,688
AKK,Akhiok,651
CIK,Chalkyitsik,622
4K0,Pedro Bay,598
EAA,Eagle,579
A63,Twin Hills,577
ANV,Anvik,558
CJX,Crooked Creek,555
RMP,Rampart,554
7KA,Tatitlek,549
KEK,Ekwok,523
C05,Chenega Bay,521
SLQ,Sleetmute,514
MTM,Metlakatla,493
6K8,Tok Junction,486
SHX,Shageluk,486
PTU,Platinum,485
KCL,Chignik Lagoon,476
PEV,Perryville,474
TCT,Takotna,470
TKE,Tenakee,451
AJC,Chignik,440
PNP,Pilot Point,417
ELV,Elfin Cove,412
CLP,Clarks Point,402
1AK3,Port Moller,377
HCA,Holy Cross,346
AKA,Atka,318
9Z8,Levelock,312
GKN,Gulkana,303
KYK,Karluk,293
OUL,Nelson Lagoon,287
Z91,Birch Creek,284
PBV,St George,274
SVS,Stevens Village,274
5AK0,Trading Bay Production,251
CRC,Circle City,247
00AN,Katmai Lodge,226
KTB,Thorne Bay,218
A79,Chignik Lake,216
SRV,Stony River 2,200
MHM,Minchumina,192
MTF,Metro Field,190
51Z,Minto Al Wright,184
DCK,Dahl Creek,182
9A3,Chuathbaluk,176
DM2,Diomede,166
IKO,Nikolski AS,148
AHP,Port Alexander,123
KOY,Olga Bay,123
15Z,McCarthy,122
D66,Delta Junction,113
LUR,Cape Lisburne LRRS,103
A29,Sitka,100
Z78,Chignik Bay,100
KKB,Kitoi Bay,93
SKW,Skwentna,92
HYL,Clark Bay,90
9A8,Ugashik,86
CGA,Craig,80
2AK1,Blair Lake,79
CZN,Chisana,79
MLY,Manley Hot Springs,74
AK81,Amook Bay,69
KFP,False Pass,65
KWP,West Point Village,65
RDV,Red Devil,61
WCR,Chandalar Lake,61
4Z7,Hyder,58
2AK,Lime Village,57
TNC,Tin City LRRS,57
ALZ,Alitak,55
AK78,Badami,54
UMT,Umiat,52
JLA,Quartz Creek,51
WSN,South Naknek Nr 2,51
KPC,Port Clarence CGS,46
MYK,May Creek,45
CZF,Cape Romanzof LRRS,32
EHM,Cape Newenham LRRS,31
CKX,Chicken,29
KMY,Moser Bay,27
WSJ,San Juan /Uganik/,25
19P,Port Protection,21
KCC,Coffman Cove,20
CEM,Central,19
01A,Purkeypile,17
CKU,Cordova Municipal,16
IYS,Wasilla,16
EXI,Excursion Inlet,15
KKL,Karluk Lake,12
37AA,Point Thomson Airstrip,11
BNF,Baranof Warm Springs Float and Seaplane Float,10
KPR,Port Williams,9
ZNC,Nyac,9
4AK,Livengood Camp,7
KPY,Port Bailey,7
MDO,Middleton Island,7
AK75,Candle 2,6
SWD,Seward,6
TLJ,Tatalina LRRS,5
HYG,Hydaburg,4
5NK,Naknek,3
5Z5,Kantishna,3
96Z,Whale Pass Seaplane Float Harbor Facility,3
ENN,Nenana Municipal,3
FLT,Flat,3
KPB,Point Baker,3
KXA,Kasaan,3
2Z6,False Island,2
FBK,Ladd AAF,2
PAQ,"Warren ""Bud"" Woods Palmer Municipal",2
SXQ,Soldotna,2
UTO,Indian Mountain LRRS,2
76AK,Pogo Mine Airstrip,1
84K,Meyers Chuck,1
CXC,Chitina,1
FNR,Funter Bay,1
BHM,Birmingham-Shuttlesworth International,"1,499,027"
HSV,Huntsville International-Carl T Jones Field,"724,147"
MOB,Mobile Regional,"275,342"
MGM,Montgomery Regional (Dannelly Field),"181,927"
DHN,Dothan Regional,"35,667"
BFM,Mobile International,"10,840"
MSL,Northwest Alabama Regional,"5,907"
TCL,Tuscaloosa Ntl,"3,370"
MXF,Maxwell AFB,106
CQF,H. L. (Sonny) Callahan,81
AUO,Auburn University Regional,48
MDQ,Huntsville Exec Tom Sharp Jr Field,38
JKA,Gulf Shores International/Jack Edwards Field,37
ALX,Thomas C Russell Field,25
EKY,Bessemer,12
GAD,Northeast Alabama Regional,10
09A,Butler/Choctaw County,6
4R3,Jackson Municipal,6
AL71,Willow Point,5
0A8,Bibb County,4
DCU,Pryor Field Regional,4
A08,Vaiden Field,3
CMD,Cullman Regional/Folsom Field,3
EUF,Weedon Field,3
MVC,Monroe County Aeroplex,2
PRN,MacCrenshaw Memorial,2
TOI,Troy Municipal at N Kenneth Campbell Field,2
LIT,Bill and Hillary Clinton Ntl/Adams Field,"1,097,472"
XNA,Northwest Arkansas Ntl,"972,907"
FSM,Fort Smith Regional,"58,615"
TXK,Texarkana Regional-Webb Field,"41,951"
HRO,Boone County,"4,565"
HOT,Memorial Field,"3,727"
ELD,South Arkansas Regional at Goodwin Field,"3,144"
JBR,Jonesboro Municipal,"2,194"
FYV,Drake Field,"1,054"
LRF,Little Rock AFB,519
ROG,Rogers Exec - Carter Field,46
AWM,West Memphis Municipal,16
ASG,Springdale Municipal,9
SRC,Searcy Regional,9
SGT,Stuttgart Municipal Carl Humphrey Field,5
AGO,Ralph C Weiser Field,4
BYH,Arkansas International,3
VBT,Bentonville Municipal/Louise M Thaden Field,3
DRP,Delta Regional,2
MEZ,Mena Intermountain Municipal,1
PPG,Pago Pago International,"43,467"
PHX,Phoenix Sky Harbor International,"23,880,504"
TUS,Tucson International,"1,925,546"
IWA,Phoenix-Mesa Gateway,"964,132"
NYL,Yuma MCAS/Yuma International,"94,364"
FLG,Flagstaff Pulliam,"73,992"
1G4,Grand Canyon West,"33,982"
PRC,Prescott Regional/Ernest A Love Field,"24,583"
PGA,Page Municipal,"15,974"
GCN,Grand Canyon Ntl Park,"142,776"
IFP,Laughlin/Bullhead International,"73,463"
1Z1,Grand Canyon Bar Ten Airstrip,"7,087"
SOW,Show Low Regional,"3,729"
SDL,Scottsdale,"1,591"
DMA,Davis Monthan AFB,"1,241"
DVT,Phoenix Deer Valley,165
AZC,Colorado City Municipal,164
IGM,Kingman,110
L41,Marble Canyon,91
FHU,Sierra Vista Municipal-Libby AAF,89
CHD,Chandler Municipal,73
CFT,Greenlee County,65
SEZ,Sedona,62
GEU,Glendale Regional,60
SAD,Safford Regional/1lt Duane Spalsbury Field,43
AVQ,Marana Regional,32
FFZ,Falcon Field,28
HII,Lake Havasu City,15
GYR,Phoenix Goodyear,14
E51,Bagdad,9
PAN,Payson,8
P13,San Carlos Apache,7
BXK,Buckeye Municipal,5
L37,Grand Canyon Caverns,5
CGZ,Casa Grande Municipal,4
CMR,H A Clark Memorial Field,4
RYN,Ryan Field,4
P52,Cottonwood,1
LAX,Los Angeles International,"40,956,673"
SFO,San Francisco International,"24,191,159"
SAN,San Diego International,"12,190,183"
SMF,Sacramento International,"6,371,910"
SJC,Norman Y Mineta San Jose International,"5,958,855"
SNA,John Wayne/Orange County,"5,706,332"
OAK,San Francisco Bay Oakland International,"5,520,812"
ONT,Ontario International,"3,181,161"
BUR,Bob Hope,"3,132,029"
LGB,Long Beach (Daugherty Field),"1,837,634"
PSP,Palm Springs International,"1,625,327"
FAT,Fresno Yosemite International,"1,201,789"
SBA,Santa Barbara Municipal,"638,802"
SBP,San Luis Obispo County Regional,"324,925"
STS,Charles M Schulz/Sonoma County,"318,197"
MRY,Monterey Regional,"259,778"
BFL,Meadows Field,"174,891"
ACV,California Redwood Coast-Humboldt County,"117,972"
RDD,Redding Regional,"87,670"
SCK,Stockton Metro,"67,688"
SBD,San Bernardino International,"27,349"
SMX,Santa Maria Public/Capt G Allan Hancock Field,"14,409"
BIH,Bishop,"10,007"
RIV,March ARB,"31,001"
CCR,Buchanan Field,"17,016"
CEC,Jack McNamara Field,"7,879"
IPL,Imperial County,"7,100"
HHR,Jack Northrop Field/Hawthorne Municipal,"5,100"
CRQ,McClellan-Palomar,"4,329"
MMH,Mammoth Yosemite,"3,966"
MCE,Merced Yosemite Regional,"3,798"
SQL,San Carlos,"3,696"
VNY,Van Nuys,"3,362"
VCV,Southern California Logistics,"1,697"
TRK,Truckee-Tahoe,"1,442"
