airport_ident,length_ft,surface,lighted,closed
00A,80,ASPH-G,1,0
00AK,2500,GRVL,0,0
00AL,2300,TURF,0,0
00AN,4517,GVL,0,0
00AS,1450,Turf,0,0
00AZ,1700,GRAVEL,0,0
00CA,6000,ASPH,0,0
00FA,3200,TURF,0,0
00FL,4090,TURF,0,0
00GA,2600,TURF,0,0
00GE,125,ASPH,1,0
00HI,1155,ASPH-G,0,0
00ID,3300,TURF,0,0
00ID,2700,TURF,0,0
00IL,2500,TURF-F,0,0
00IN,40,MATS,1,0
00IS,1600,TURF,0,0
00KS,2600,TURF,0,0
00KY,2100,TURF,0,0
00LA,40,TURF,0,0
00LL,25,CONC,0,0
00LS,2600,TURF,0,0
00MD,1700,TURF,0,0
00MI,100,TURF,0,0
00MN,2949,TURF-G,1,0
00MO,2400,TURF,0,0
00N,1900,TURF-G,1,0
00NC,2650,ASPH-G,0,0
00NJ,50,ASPH,0,0
00NR,50,CON,1,0
00NY,2350,TURF,1,0
00OI,42,CONC,0,0
00OK,2200,Turf/Dirt,0,0
00PA,80,TURF-G,0,0
00PN,500,TURF,0,0
00S,2600,TURF-P,0,0
00SC,2900,TURF,0,0
00SD,2400,Turf,0,0
00TE,48,TURF,0,0
00TS,1200,TURF,0,0
00TT,2429,Turf/Dirt,0,0
00VA,1300,TURF,0,0
00VI,1500,TURF,0,0
00W,3400,GRAVEL-F,0,0
00WA,1105,TURF-G,0,0
00WI,1000,TURF,0,0
00WN,1440,TURF-G,0,0
00WV,1800,TURF,0,0
01A,1176,GRAVEL-F,0,0
01AK,40,CONC,1,0
01AL,2500,TURF,1,0
01AR,55,CONC,1,0
01AZ,210,TURF,0,0
01CA,20,ASPH,0,0
01CL,3100,ASPH-TRTD,1,0
01CO,125,ASPH,0,0
01CT,70,TURF-GRVL,0,0
01FA,2000,TURF,0,0
01FA,1500,TURF,0,0
01FD,110,CONC,0,0
01FL,3000,TURF,1,0
01GA,65,CONC,0,0
01GE,2560,TURF,0,0
01ID,2894,TURF-F,0,0
01IL,416,TURF,0,0
01IN,45,ASPH,0,0
01IS,1300,TURF,0,0
01J,3365,TURF-P,1,0
01K,2460,TURF-G,1,0
01KS,2400,TURF,0,0
01KY,40,CONC,0,0
01LA,2000,TURF,0,0
01LL,1600,TURF,0,0
01LS,1800,TURF,0,0
01MA,32,TURF,0,0
01MD,3500,WATER,0,0
01ME,5000,WATER,0,0
01ME,5000,WATER,0,0
01MI,50,CONC,0,0
01MN,10000,WATER,0,0
01MN,10000,WATER,0,0
01MO,37,CONC,0,0
01MT,5000,ASPH-G,0,0
01MU,54,CON,0,0
01NC,3200,TURF,1,0
01NC,2000,ASPH-TURF,0,0
01NH,600,TURF,0,0
01NJ,125,ASPH,0,0
01NM,2700,DIRT,0,0
01NM,2000,DIRT,0,0
01NR,50,Turf,0,0
01NV,2000,GRVL,0,0
01NY,100,ASPH,0,0
01OH,100,CON,1,0
01OI,30,CONC-G,0,0
01OL,1600,Turf,0,0
01PN,1700,TURF,0,0
01PS,1200,TURF-G,0,0
01SC,2580,TURF-F,1,0
01TA,30,CONC,0,0
01TE,2433,TURF-F,0,0
01TN,2700,TURF,0,0
01U,2700,DIRT-P,0,0
01U,3400,DIRT-P,0,0
01UT,3200,DIRT-P,0,0
01VA,1500,TURF,0,0
01WA,36,CONC,0,0
01WI,2300,TURF,0,0
01WN,40,ASPH,1,0
01WT,28,CONC-G,0,0
01WY,4360,DIRT-TURF-G,0,0
01WY,2600,DIRT-TURF-G,0,0
01XA,50,CONC,1,0
01XS,50,CONC,0,0
02AK,2200,GRVL,0,0
02AL,2000,TURF,0,0
02AN,1800,Turf,0,0
02CA,55,PSP,0,0
02CD,2500,CONC-TURF,0,0
02CL,3000,DIRT,0,0
02CO,2670,GRAVEL,0,0
02CT,50,ASPH,0,0
02FA,2485,TURF,0,0
02FD,3443,Turf,0,0
02GA,1200,TURF,0,0
02GA,1500,TURF,0,0
02GE,3400,TURF,0,0
02HI,100,CONC,0,0
02IA,50,CONC,0,0
02ID,2000,TURF,0,0
02II,1100,TURF,0,0
02IN,1020,TURF,0,0
02IS,40,MATS,0,0
02KS,1650,TURF,0,0
02KS,1950,TURF,0,0
02KY,100,CONC,0,0
02LA,20,CONC,0,0
02LS,24,CONC,0,0
02MA,50,ASPH,0,0
02MD,2000,Turf,0,0
02ME,2400,TURF,0,0
02MI,2000,TURF,0,0
02MO,2200,TURF-G,0,0
02MS,2150,TURF-F,0,0
02NH,3000,WATER,0,0
02NH,20,TURF,0,0
02NM,4247,Dirt,0,0
02NR,50,Turf,0,0
02NV,2200,TURF,0,0
02NY,25,TURF,0,0
02OH,2750,TURF,0,0
02OI,1500,TURF,0,0
02OR,2000,TURF,0,0
02P,100,TURF-G,1,0
02PA,60,TURF-GRVL,0,0
02PN,40,ASPH,0,0
02PR,2000,TURF,0,0
02RI,100,Turf,0,0
02SC,3600,TURF-G,0,0
02T,4050,DIRT-G,0,0
02TA,32,CONC,0,0
